t_s,Power_W,T_local_C,T_remote_C
108,1,28.178345829733,26.3894697459651
109,1,28.2087255090371,26.4096781456742
110,1,28.2390672874002,26.4299169857836
111,1,28.2693712389859,26.4501849430105
112,1,28.2996374372027,26.4704807258476
113,1,28.3298659547198,26.4908030738169
114,1,28.3600568634839,26.511150756741
115,1,28.3902102347344,26.5315225740314
116,1,28.4203261390193,26.5519173539934
117,1,28.4504046462097,26.5723339531478
118,1,28.4804458255152,26.5927712555681
119,1,28.5104497454973,26.6132281722331
120,1,28.5404164740845,26.633703640395
121,1,28.5703460785851,26.6541966229624
122,1,28.6002386257008,26.6747061078975
123,1,28.6300941815402,26.6952311076276
124,1,28.6599128116309,26.71577065847
125,1,28.6896945809325,26.7363238200715
126,1,28.7194395538481,26.7568896748595
127,1,28.749147794237,26.7774673275073
128,1,28.7788193654257,26.798055904411
129,1,28.8084543302193,26.8186545531797
130,1,28.8380527509128,26.8392624421364
131,1,28.8676146893019,26.8598787598314
132,1,28.8971402066931,26.8805027145675
133,1,28.9266293639145,26.9011335339349
134,1,28.9560822213259,26.9217704643587
135,1,28.985498838828,26.942412770656
136,1,29.0148792758728,26.9630597356033
137,1,29.0442235914725,26.9837106595149
138,1,29.0735318442088,27.0043648598302
139,1,29.1028040922416,27.0250216707113
140,1,29.1320403933183,27.0456804426502
141,1,29.1612408047818,27.0663405420844
142,1,29.190405383579,27.0870013510222
143,1,29.2195341862692,27.1076622666767
144,1,29.2486272690315,27.1283227011082
145,1,29.2776846876731,27.1489820808753
146,1,29.3067064976367,27.1696398466935
147,1,29.3356927540077,27.1902954531026
148,1,29.3646435115218,27.2109483681417
149,1,29.3935588245718,27.2315980730314
150,1,29.4224387472148,27.2522440618638
151,1,29.4512833331783,27.2728858412999
152,1,29.4800926358678,27.293522930274
153,1,29.5088667083721,27.3141548597045
154,1,29.5376056034706,27.3347811722126
155,1,29.5663093736387,27.3554014218462
156,1,29.5949780710542,27.3760151738118
157,1,29.6236117476031,27.3966220042112
158,1,29.652210454885,27.4172214997859
159,1,29.6807742442193,27.4378132576657
160,1,29.7093031666501,27.458396885125
161,1,29.7377972729517,27.4789719993437
162,1,29.7662566136339,27.499538227174
163,1,29.794681238947,27.5200952049127
164,1,29.823071198887,27.5406425780788
165,1,29.8514265431999,27.5611800011964
166,1,29.879747321387,27.5817071375826
167,1,29.9080335827094,27.6022236591406
168,1,29.9362853761923,27.622729246157
169,1,29.9645027506295,27.643223587105
170,1,29.992685754588,27.6637063784507
171,1,30.020834436412,27.6841773244657
172,1,30.0489488442267,27.7046361370425
173,1,30.077029025943,27.7250825355151
174,1,30.1050750292609,27.7455162464838
175,1,30.1330869016735,27.7659370036437
176,1,30.1610646904708,27.7863445476177
177,1,30.1890084427435,27.8067386257928
178,1,30.2169182053861,27.8271189921612
179,1,30.244794025101,27.8474854071637
180,1,30.2726359484013,27.8678376375386
181,1,30.3004440216148,27.8881754561724
182,1,30.3282182908868,27.9084986419551
183,1,30.3559588021833,27.9288069796385
184,1,30.3836656012943,27.9491002596979
185,1,30.4113387338369,27.9693782781971
186,1,30.4389782452578,27.9896408366561
187,1,30.4665841808369,28.0098877419231
188,1,30.4941565856896,28.0301188060479
189,1,30.5216955047697,28.0503338461594
190,1,30.5492009828723,28.0705326843459
191,1,30.576673064636,28.0907151475376
192,1,30.6041117945461,28.1108810673921
193,1,30.6315172169367,28.1310302801834
194,1,30.6588893759932,28.151162626692
195,1,30.6862283157548,28.1712779520989
196,1,30.7135340801169,28.1913761058812
197,1,30.7408067128331,28.2114569417112
198,1,30.7680462575181,28.2315203173562
199,1,30.7952527576492,28.2515660945825
200,1,30.8224262565686,28.2715941390605
201,1,30.8495667974859,28.291604320272
202,1,30.8766744234798,28.3115965114207
203,1,30.9037491775,28.3315705893433
204,1,30.9307911023695,28.3515264344243
205,1,30.9578002407864,28.3714639305112
206,1,30.9847766353256,28.391382964833
207,1,31.0117203284406,28.41128342792
208,1,31.0386313624657,28.4311652135254
209,1,31.0655097796173,28.451028218549
210,1,31.0923556219958,28.4708723429628
211,1,31.1191689315873,28.4906974897378
212,1,31.1459497502652,28.510503564773
213,1,31.1726981197914,28.5302904768261
214,1,31.1994140818188,28.5500581374455
215,1,31.2260976778917,28.5698064609038
216,1,31.2527489494481,28.5895353641339
217,1,31.2793679378208,28.6092447666647
218,1,31.305954684239,28.6289345905606
219,1,31.3325092298292,28.6486047603603
220,1,31.3590316156174,28.6682552030185
221,1,31.3855218825298,28.6878858478482
222,1,31.411980071394,28.7074966264649
223,1,31.4384062229408,28.7270874727313
224,1,31.4648003778052,28.7466583227044
225,1,31.4911625765273,28.7662091145829
226,1,31.5174928595539,28.7857397886563
227,1,31.5437912672395,28.805250287255
228,1,31.5700578398474,28.8247405547016
229,1,31.596292617551,28.8442105372638
230,1,31.6224956404345,28.8636601831073
231,1,31.6486669484942,28.8830894422514
232,1,31.6748065816397,28.9024982665239
233,1,31.7009145796945,28.9218866095184
234,1,31.7269909823974,28.9412544265519
235,1,31.7530358294032,28.9606016746239
236,1,31.7790491602835,28.9799283123757
237,1,31.8050310145283,28.9992343000516
238,1,31.830981431546,29.0185195994603
239,1,31.856900450665,29.0377841739374
240,1,31.8827881111342,29.0570279883089
241,1,31.9086444521239,29.0762510088554
242,1,31.9344695127267,29.0954532032774
243,1,31.9602633319583,29.1146345406611
244,1,31.9860259487582,29.1337949914452
245,1,32.0117574019906,29.1529345273882
246,1,32.037457730445,29.1720531215371
247,1,32.0631269728371,29.1911507481959
248,1,32.0887651678094,29.2102273828959
249,1,32.114372353932,29.2292830023658
250,1,32.1399485697032,29.248317584503
251,1,32.1654938535502,29.2673311083452
252,1,32.19100824383,29.2863235540434
253,1,32.2164917788296,29.3052949028346
254,1,32.2419444967669,29.3242451370155
255,1,32.2673664357914,29.3431742399175
256,1,32.2927576339846,29.3620821958809
257,1,32.3181181293608,29.3809689902311
258,1,32.3434479598674,29.3998346092545
259,1,32.3687471633858,29.4186790401751
260,1,32.3940157777318,29.4375022711321
261,1,32.4192538406559,29.4563042911573
262,1,32.4444613898445,29.4750850901537
263,1,32.4696384629196,29.4938446588742
264,1,32.4947850974399,29.512582988901
265,1,32.5199013309012,29.5313000726252
266,1,32.5449872007365,29.5499959032275
267,1,32.5700427443171,29.5686704746584
268,1,32.5950679989525,29.5873237816199
269,1,32.6200630018913,29.6059558195469
270,1,32.6450277903214,29.6245665845893
271,1,32.6699624013704,29.6431560735944
